Date,Close,High,Low,Open,Volume
2010-01-04,4.23032283782959,4.312288328134018,4.193893827531634,4.248537342978567,50760842
2010-01-05,4.480773448944092,4.508094994653088,4.385147170426329,4.43979069611246,240879919
2010-01-06,4.571846008300781,4.590060516928747,4.480773465160953,4.480773465160953,152624509
2010-01-07,4.55363130569458,4.635596808162881,4.5080948189303856,4.626489337102794,85894338
2010-01-08,4.590059280395508,4.6264882878376925,4.53541576923223,4.6082737841166,87066566
2010-01-11,4.635595798492432,4.681131841070384,4.617381294607646,4.644702833300811,87000550
2010-01-12,4.608274459838867,4.6629179790146535,4.562738410993089,4.6629179790146535,92179445
2010-01-13,4.439790725708008,4.544524042070873,4.394254236865285,4.544524042070873,151146635
2010-01-14,4.385146141052246,4.462557892836244,4.3805924064136486,4.453450423559051,92631720
2010-01-15,4.335055828094482,4.389699334213154,4.316840891786941,4.371484832173597,150087798
2010-01-18,4.280411243438721,4.348715941507119,4.257643445017173,4.303179476128187,112681748
2010-01-19,4.366931915283203,4.253091147665885,4.362378180354175,4.280412688703925,112975410
2010-01-20,4.280411243438721,4.321393975426176,4.212106979638241,4.2895187102216745,166094081
2010-01-21,4.180233001708984,4.29407376594491,4.1711255321214455,4.2485372865433195,118233844
2010-01-22,4.175679683685303,4.184786719913753,4.075499679563775,4.102821656785317,133033700
2010-01-25,4.14380407333374,4.171125614097208,4.080053087772215,4.098267593037214,96002641
2010-01-26,4.034517288208008,4.15291180954089,4.020856515521332,4.15291180954089,110494515
2010-01-27,4.034517288208008,4.089160813222845,3.9844274988447728,4.034517288208008,79926020
2010-01-28,4.052730083465576,4.116481052836217,4.016301082187482,4.039069316553278,94482406
2010-01-29,4.007195949554443,4.061839477388185,3.9616594592255807,3.9616594592255807,79859533
2010-02-01,3.9889800548553467,4.020855326453988,3.897907540096367,3.9388898460369037,105149561
2010-02-02,4.025409698486328,4.098267721836078,3.9753194817323196,4.034516734271009,98122892
2010-02-03,4.157463550567627,4.184785082832937,4.070944351768986,4.130141584034392,150575323
2010-02-04,4.061838150024414,4.134696163326876,4.03906991230039,4.10737462547246,111998120
2010-02-05,3.825049877166748,3.9297836162838973,3.8159428409602665,3.916122844840128,210747056
2010-02-08,3.761298656463623,3.861478208378138,3.7385304185674086,3.7840668943598375,113015118
2010-02-09,3.847817897796631,3.893354379014512,3.7430845989708006,3.7430845989708006,108199132
2010-02-10,3.8751392364501953,3.907014507502745,3.8068345258501624,3.86147803376939,101497663
2010-02-11,3.952552318572998,3.975320128875113,3.893355056397579,3.893355056397579,81612698
2010-02-12,3.9206759929656982,3.970766210086959,3.8933544511432627,3.9115689571142456,68455930
2010-02-17,3.998087167739868,4.089159684287972,3.9889801332190644,4.007194636528685,80307984
2010-02-18,3.966212272644043,4.03451655798286,3.947997767602488,3.947997767602488,61528951
2010-02-19,3.8705859184265137,3.9616584414182343,3.8569251485447666,3.938890202103293,80091078
2010-02-22,3.9844272136688232,4.034516999447,3.966212706634204,3.9889809489945036,77167600
2010-02-23,4.0208563804626465,4.057285395915572,3.9206763708330428,3.947998349556796,83460770
2010-02-24,3.9343373775482178,3.9707663911513227,3.916122870746665,3.95255188434977,104472607
2010-02-25,3.884246349334717,3.975318864378648,3.8341565746275563,3.929782823990686,131289072
2010-02-26,3.9479970932006836,3.966211595130815,3.9070143552908942,3.934336325320081,95103057
2010-03-01,4.029963493347168,4.043624264361054,3.9980877819573255,4.007195252145303,101789354
2010-03-02,4.061838150024414,3.984426402323544,4.034516177901983,4.0254091433731825,82189016
