Date,Dividends
2010-06-03 00:00:00+08:00,0.13003
2010-09-16 00:00:00+08:00,0.16063
2011-06-01 00:00:00+08:00,0.18357
2011-09-15 00:00:00+08:00,0.16229
2012-06-07 00:00:00+08:00,0.16462
2012-09-18 00:00:00+08:00,0.1525
2013-06-06 00:00:00+08:00,0.13106
2013-09-12 00:00:00+08:00,0.1611
2014-06-05 00:00:00+08:00,0.15755
2014-09-19 00:00:00+08:00,0.1675
2015-07-09 00:00:00+08:00,0.09601
2015-09-18 00:00:00+08:00,0.06247
2016-06-08 00:00:00+08:00,0.02486
2016-09-21 00:00:00+08:00,0.02131
2017-06-22 00:00:00+08:00,0.03801
2017-09-15 00:00:00+08:00,0.06926
2018-06-21 00:00:00+08:00,0.06074
2018-09-21 00:00:00+08:00,0.0888
2019-06-28 00:00:00+08:00,0.09
2019-09-24 00:00:00+08:00,0.08542
2020-06-30 00:00:00+08:00,0.06601
2020-09-22 00:00:00+08:00,0.08742
2021-06-29 00:00:00+08:00,0.08742
2021-09-17 00:00:00+08:00,0.1304
2022-06-28 00:00:00+08:00,0.09622
2022-09-20 00:00:00+08:00,0.20258
2023-06-28 00:00:00+08:00,0.22
2023-09-20 00:00:00+08:00,0.21
2024-06-26 00:00:00+08:00,0.23
2024-09-19 00:00:00+08:00,0.22
2025-06-25 00:00:00+08:00,0.25
2025-09-17 00:00:00+08:00,0.22
